"weight","sex","hindfoot_length","species_id"
,"M",32,"NL"
,"M",33,"NL"
,"F",37,"DM"
,"M",36,"DM"
,"M",35,"DM"
,"M",14,"PF"
,"F",,"PE"
,"M",37,"DM"
,"F",34,"DM"
,"F",20,"PF"
,"F",53,"DS"
,"M",38,"DM"
,"M",35,"DM"
,,,"DM"
,"F",36,"DM"
,"F",36,"DM"
,"F",48,"DS"
,"M",22,"PP"
,,,"PF"
,"F",48,"DS"
,"F",34,"DM"
,"F",31,"NL"
,"M",36,"DM"
,"M",21,"SH"
,"M",35,"DM"
,"M",31,"DM"
,"M",36,"DM"
,"M",38,"DM"
,"M",,"PP"
,"F",52,"DS"
,"F",37,"DM"
,"F",35,"DM"
,"F",36,"DM"
,,,"DM"
,"F",38,"DM"
,"F",22,"OT"
,"F",35,"DM"
,"M",33,"NL"
,"F",36,"DM"
,"M",36,"DM"
,"F",34,"DM"
,"F",46,"DS"
,"M",36,"DM"
,"F",35,"DM"
,"M",36,"DM"
,"M",35,"DM"
,"M",32,"DM"
,"F",36,"DM"
,"F",17,"PP"
,"F",32,"DM"
,"F",36,"DM"
,"F",26,"DM"
,"M",36,"DM"
,"M",37,"DM"
,"M",36,"DM"
,"M",34,"DM"
,,,"DM"
,"M",45,"DS"
,"M",33,"DM"
,"M",20,"PE"
,"M",35,"DM"
,"M",35,"DM"
40,"M",35,"DM"
48,"M",37,"DM"
29,"F",34,"DM"
46,"F",35,"DM"
36,"M",35,"DM"
52,"F",32,"DO"
8,"M",15,"PF"
22,"F",21,"OX"
35,"F",36,"DM"
,"M",31,"NL"
,"F",44,"DS"
7,"M",12,"PF"
22,"F",32,"DM"
,"F",47,"DS"
,,,"SS"
9,"M",16,"PF"
42,"F",34,"DM"
,"M",48,"DS"
8,"F",14,"PF"
41,"F",35,"DM"
37,"F",37,"DM"
43,"F",35,"DM"
41,"F",35,"DM"
40,"F",33,"DM"
9,"F",11,"PF"
45,"F",35,"DM"
15,"F",20,"PP"
29,"M",35,"DM"
,"F",50,"DS"
39,"M",35,"DM"
42,,,"DM"
43,"F",36,"DM"
46,"M",38,"DM"
41,"M",36,"DM"
41,"M",36,"DM"
40,"M",38,"DM"
45,"M",37,"DM"
,"F",54,"DS"
46,"F",35,"DM"
40,"F",35,"DM"
30,"F",35,"DM"
,"M",43,"DS"
39,"M",35,"DM"
,,,"NL"
,,,"NL"
,"M",21,"PP"
34,"M",35,"DM"
,,,"DS"
42,"F",37,"DM"
42,"M",37,"DM"
8,"F",13,"PF"
,"F",32,"DM"
,"M",34,"DM"
31,"F",37,"DM"
,"F",19,"OX"
,"M",33,"DM"
,"M",35,"DM"
,"M",35,"DM"
,,,"NL"
,"F",33,"DM"
,"M",37,"DM"
,"M",36,"DM"
,"M",35,"DM"
,"F",30,"DM"
,"M",33,"DM"
,"M",34,"DM"
,"F",34,"DM"
,"F",34,"DM"
,"M",37,"DM"
,"F",33,"DM"
,"M",37,"DM"
,"F",45,"DS"
,"F",35,"DM"
,"F",16,"PF"
,"F",35,"DM"
,"M",37,"DM"
,"M",15,"PF"
,"M",33,"DM"
,"M",36,"DM"
,"F",34,"DM"
,"M",35,"DM"
,"M",40,"DS"
,"F",37,"DM"
40,"F",36,"DM"
,"M",37,"DM"
,"M",37,"DM"
,"M",50,"DS"
,"M",35,"DM"
,"M",35,"DM"
,"M",38,"DM"
,"F",50,"DS"
,"F",47,"DS"
,,,"DS"
,"M",35,"DM"
37,"M",36,"DM"
48,"M",36,"DM"
,"M",53,"DS"
,"M",37,"DM"
42,"M",37,"DM"
45,"F",39,"DM"
16,"F",21,"PP"
36,"F",36,"DM"
,"F",50,"DS"
,"M",13,"OX"
42,"M",36,"DM"
44,"M",36,"DM"
,"M",37,"DM"
41,"F",36,"DM"
,,,"NL"
8,"F",,"PF"
40,"F",36,"DM"
34,"M",37,"DM"
40,"M",33,"DM"
,"M",45,"DS"
20,"F",,"OX"
44,"M",33,"DM"
44,"M",37,"DM"
36,"M",34,"DM"
33,"M",35,"DM"
,"M",49,"DS"
46,"F",37,"DM"
,"M",52,"DS"
,"F",19,"OX"
35,"F",34,"DM"
46,"M",36,"DM"
,"F",48,"DS"
37,"F",33,"DM"
34,"M",36,"DM"
,"M",47,"DS"
45,"F",36,"DM"
,,,"PE"
,,,"NL"
,"M",50,"DS"
7,"F",15,"PF"
51,"M",37,"DM"
39,"M",35,"DM"
29,"M",36,"DM"
,"F",52,"DS"
,"M",47,"DS"
48,"F",32,"DM"
46,"M",38,"DM"
41,"F",37,"DM"
,"M",50,"DS"
,"F",52,"DS"
,"F",53,"DS"
45,"M",37,"DM"
42,"F",35,"DM"
53,"F",36,"DM"
,"F",48,"DS"
,,,"PF"
49,"F",35,"DM"
,,,"NL"
46,"F",36,"DM"
9,"F",13,"PF"
15,"F",19,"PP"
4,"M",13,"PF"
48,"M",36,"DM"
,"M",52,"DS"
,,,"DM"
,"M",52,"DS"
,"F",50,"DS"
,,,"NL"
,,,"DM"
51,"M",37,"DM"
,,,"DM"
50,"M",38,"DM"
44,"M",35,"DM"
,,,"DM"
,,,"DS"
,"M",48,"DS"
44,"M",25,"DM"
45,"M",35,"DM"
45,"F",37,"DM"
,"F",47,"DS"
,"F",50,"DS"
19,"M",20,"PE"
,"M",48,"DS"
,"F",53,"DS"
,,,"DS"
22,"M",19,"OX"
44,"F",38,"DM"
42,"F",36,"DM"
39,"M",37,"DM"
47,"M",37,"DM"
,"M",54,"DS"
21,"M",,"OT"
42,"M",36,"DM"
,"F",51,"DS"
49,"M",36,"DM"
,"F",53,"DS"
39,"M",38,"DM"
43,"F",36,"DM"
50,"M",35,"DM"
41,"M",36,"DM"
47,"M",37,"DM"
37,"F",36,"DM"
41,"M",36,"DM"
36,"F",36,"DM"
45,"M",36,"DM"
20,"M",19,"PE"
40,"M",37,"DM"
,"F",49,"DS"
49,"M",38,"DM"
,,,"NL"
,"F",46,"DS"
55,"F",36,"DM"
46,"M",37,"DM"
38,"F",36,"DM"
,"F",50,"DS"
,,,"NL"
44,"M",37,"DM"
21,"F",20,"OL"
41,"M",37,"DM"
,"F",50,"DS"
21,,20,"OL"
,"M",50,"DS"
,"F",19,"PE"
46,"M",37,"DM"
,,,"NL"
,,,"NL"
36,"M",34,"DM"
44,"M",37,"DM"
53,"M",36,"DM"
,"M",50,"DS"
41,"M",38,"DM"
48,"M",37,"DM"
47,"M",38,"DM"
,"F",33,"DM"
,"F",47,"DS"
33,"F",36,"DO"
42,"F",36,"DM"
50,"F",37,"DO"
41,"M",36,"DM"
21,,18,"OT"
,,,"NL"
49,"M",36,"DM"
,"M",19,"OT"
,"F",,"DS"
,"F",48,"DS"
44,"F",36,"DM"
31,"M",36,"DM"
40,"M",37,"DM"
40,"F",35,"DM"
23,"M",33,"DM"
42,"M",36,"DM"
,"F",48,"DS"
,"M",49,"DS"
,,,"DS"
13,"M",18,"RM"
42,"F",36,"DM"
31,"M",35,"DM"
,,,"NL"
39,"M",36,"DM"
48,"M",37,"DM"
48,"F",32,"DO"
29,"M",33,"DM"
45,"M",36,"DM"
39,"F",35,"DM"
23,"F",,"OL"
,"F",47,"DS"
31,"F",33,"DO"
,,,
,,,
,,,
,"F",50,"DS"
43,"F",,"DM"
,"F",47,"DS"
43,"M",37,"DM"
,"F",50,"DS"
8,"M",16,"PF"
,,,"OX"
45,"F",37,"DM"
,"M",52,"DS"
40,"M",36,"DM"
41,"F",35,"DO"
41,"M",37,"DM"
,"F",49,"DS"
39,"F",36,"DM"
,"M",50,"DS"
25,"M",34,"DM"
,,,"PF"
,,,"NL"
45,"F",34,"DM"
36,"F",37,"DM"
40,"F",38,"DM"
44,"M",36,"DM"
,,,"NL"
47,"M",37,"DM"
,,,"OL"
40,"M",36,"DM"
,,,"NL"
44,"M",38,"DM"
,,,"OT"
44,"F",32,"DO"
117,"F",50,"DS"
7,"F",16,"PF"
40,"M",36,"DM"
39,"F",35,"DM"
40,"F",36,"DM"
121,"F",51,"DS"
,,,"NL"
46,"M",37,"DM"
35,"F",38,"DM"
,,,"OL"
115,"M",51,"DS"
7,"F",16,"PF"
39,"F",36,"DM"
40,"M",35,"DM"
40,"M",36,"DM"
35,"F",36,"DM"
36,"M",34,"DM"
44,"M",37,"DM"
6,"F",15,"PF"
7,"F",15,"PF"
120,"F",48,"DS"
48,"M",33,"DO"
44,"M",36,"DM"
38,"F",33,"DM"
118,"F",48,"DS"
40,"M",37,"DM"
126,"F",52,"DS"
37,"M",36,"DM"
132,"M",50,"DS"
,,,"OL"
,,,"OL"
39,"F",36,"DM"
113,"F",,"DS"
,,,"NL"
7,"M",15,"PF"
122,"F",53,"DS"
,,,"NL"
107,"F",48,"DS"
43,"M",36,"DM"
40,"F",36,"DM"
7,"F",16,"RM"
115,"F",50,"DS"
39,"F",36,"DM"
,,,"OL"
,,,
,,,
,,,
40,"M",37,"DM"
,,,"DS"
,,,"NL"
116,"F",50,"DS"
6,"F",9,"PF"
38,"F",36,"DM"
137,"M",53,"DS"
42,"M",36,"DM"
126,"M",52,"DS"
112,"F",49,"DS"
39,"F",34,"DO"
41,"F",36,"DM"
,,,
,,,
,,,
,,,
48,"F",38,"DM"
121,"F",51,"DS"
42,"F",37,"DM"
42,"M",36,"DM"
52,"M",37,"DM"
38,"F",36,"DM"
45,"M",36,"DM"
37,"F",37,"DM"
40,"F",33,"DO"
38,"M",,"DM"
7,"F",15,"PF"
,,,"OT"
,,,"PF"
44,"M",38,"DM"
7,"F",16,"PF"
,,,"NL"
33,"F",37,"DM"
38,"F",37,"DM"
47,"M",36,"DM"
39,"F",36,"DM"
7,"F",16,"PF"
,,,"OL"
,,,"OT"
42,"M",35,"DM"
36,"M",38,"DM"
,,,"OL"
,,,"OT"
44,"M",37,"DM"
116,"M",51,"DS"
43,"M",35,"DM"
45,"M",33,"DO"
116,"F",51,"DS"
,,,"OT"
42,"M",36,"DM"
38,"F",36,"DM"
,,,
,,,
,,,
,,,
,,,
114,"F",,"DS"
41,"M",36,"DM"
40,"M",36,"DM"
134,"M",49,"DS"
139,"M",49,"DS"
,,,"NL"
118,"F",51,"DS"
41,"F",32,"DO"
37,"M",35,"DM"
,,,"NL"
6,"M",15,"PF"
,,,"OT"
127,"F",49,"DS"
,,,"OT"
6,"F",15,"PF"
,,,"NL"
120,"F",,"DS"
115,"F",47,"DS"
,,,"OT"
40,"F",36,"DM"
114,"F",47,"DS"
37,"F",35,"DM"
46,"M",37,"DM"
149,"M",49,"DS"
38,"F",37,"DM"
127,"M",52,"DS"
,,,"NL"
36,"F",38,"DM"
41,"M",37,"DM"
,,,"OT"
44,"M",37,"DM"
138,"M",48,"DS"
110,"M",49,"DS"
110,"F",49,"DS"
,,,"OT"
,,,"NL"
37,"F",36,"DM"
,,,"OT"
7,"M",16,"PF"
121,"F",51,"DS"
,,,"OT"
,,,"OT"
43,"F",36,"DM"
,,,
,,,"OL"
43,"M",36,"DM"
,,,"NL"
44,"M",35,"DM"
36,"F",36,"DM"
,,,"NL"
8,"F",16,"PF"
38,"M",36,"DM"
122,"F",48,"DS"
,,,"OL"
7,"M",16,"PF"
42,"F",,"DO"
46,"M",38,"DM"
22,"M",26,"PE"
38,"M",36,"DM"
48,"M",38,"DM"
7,"M",15,"PF"
43,"M",36,"DM"
35,"F",37,"DM"
43,"M",36,"DM"
,,,"DM"
36,"M",34,"DM"
117,"F",51,"DS"
37,"F",37,"DM"
122,"M",51,"DS"
43,"M",36,"DM"
42,"M",37,"DM"
,,,"NL"
7,"F",,"PF"
45,"M",,"DM"
,,,"OT"
,,,
,,,
,,,"OT"
40,"M",36,"DM"
37,"F",34,"DM"
117,"F",47,"DS"
40,"M",36,"DM"
40,"M",36,"DM"
132,"M",49,"DS"
,,,"OL"
36,"F",38,"DM"
,,,"NL"
,,,"OT"
150,"M",53,"DS"
44,"M",38,"DM"
40,"F",36,"DM"
126,"F",50,"DS"
122,"F",51,"DS"
136,"F",50,"DS"
,,,"NL"
116,"F",48,"DS"
38,"F",36,"DM"
39,"F",37,"DM"
135,"F",49,"DS"
46,"M",36,"DM"
133,"M",50,"DS"
136,"M",53,"DS"
,,,
,,,
141,"F",51,"DS"
,,,"NL"
38,"F",36,"DM"
35,"F",36,"DM"
,,,"OT"
135,"M",,"DS"
,,,"OT"
33,"F",,"DM"
51,"M",38,"DM"
122,"F",,"DS"
33,"F",34,"DM"
47,"M",38,"DM"
49,"M",36,"DM"
,,,"OT"
46,"M",,"DM"
45,"F",,"DM"
41,"M",,"DM"
,,,
,,,
,,,
24,"M",,"OT"
157,"M",53,"DS"
51,"M",35,"DM"
,,,"OX"
218,"M",,"NL"
38,"F",39,"DM"
7,"F",16,"PF"
,"F",38,"DM"
45,"M",39,"DM"
52,"M",38,"DM"
50,"M",38,"DM"
51,"M",37,"DM"
126,"F",,"DS"
39,"F",33,"DM"
24,"F",,"OT"
23,"F",15,"OT"
40,"F",37,"DM"
41,"M",36,"DM"
46,"M",37,"DM"
25,"M",,"OT"
25,"M",22,"PE"
,,,
,,,
39,"F",36,"DM"
42,"F",34,"DM"
,"F",49,"DS"
39,"M",37,"DM"
23,"F",20,"OT"
