"year","month","day","sex"
1977,7,16,"F"
1977,7,16,"F"
1977,7,17,"F"
1977,7,17,"F"
1977,7,18,"F"
1977,7,18,"M"
1977,8,19,"F"
1977,8,19,"F"
1977,8,19,"M"
1977,8,20,"F"
1977,8,20,"F"
1977,8,20,"M"
1977,8,20,
1977,8,21,"F"
1977,8,21,"M"
1977,8,21,"M"
1977,8,21,"F"
1977,8,21,"F"
1977,8,21,
1977,9,11,"M"
1977,9,11,"F"
1977,9,11,"M"
1977,9,11,"M"
1977,9,11,"M"
1977,9,12,"F"
1977,9,12,"M"
1977,9,12,"M"
1977,9,12,"F"
1977,9,12,"M"
1977,9,12,"M"
1977,9,12,"F"
1977,9,12,"F"
1977,9,12,"F"
1977,9,13,"M"
1977,9,13,"M"
1977,9,13,"F"
1977,9,13,
1977,9,13,"M"
1977,9,13,"F"
1977,9,13,"F"
1977,9,13,"M"
1977,9,13,"F"
1977,9,13,
1977,10,16,"M"
1977,10,16,"F"
1977,10,16,"F"
1977,10,16,"F"
1977,10,16,"F"
1977,10,16,"F"
1977,10,16,"F"
1977,10,16,"M"
1977,10,16,"M"
1977,10,17,"F"
1977,10,17,"F"
1977,10,17,"F"
1977,10,17,"F"
1977,10,17,"M"
1977,10,17,
1977,10,17,"F"
1977,10,18,"F"
1977,10,18,"F"
1977,10,18,"F"
1977,10,18,"M"
1977,10,18,"F"
1977,10,18,"M"
1977,11,12,"F"
1977,11,12,"F"
1977,11,12,"M"
1977,11,12,"F"
1977,11,13,"F"
1977,11,13,"F"
1977,11,13,"M"
1977,11,13,"F"
1977,11,13,"F"
1977,11,13,"F"
1977,11,13,"F"
1977,11,14,
1977,11,14,"F"
1977,11,14,"M"
1977,11,14,"M"
1977,11,14,"F"
1977,12,10,"F"
1977,12,10,"M"
1977,12,10,"F"
1977,12,11,"F"
1977,12,11,"M"
1977,12,11,"M"
1977,12,11,"F"
1977,12,11,"F"
1977,12,11,"F"
1977,12,11,"F"
1977,12,11,"F"
1977,12,11,"M"
1977,12,11,"M"
1977,12,11,"M"
1977,12,11,"M"
1977,12,11,"F"
1977,12,11,"F"
1978,1,8,"F"
1978,1,8,"F"
1978,1,8,"M"
1978,1,9,"F"
1978,1,9,"M"
1978,1,9,"M"
1978,1,9,"F"
1978,1,9,"F"
1978,1,9,"F"
1978,1,9,"F"
1978,1,9,"F"
1978,1,9,"M"
1978,1,9,"M"
1978,1,10,"F"
